ticker,name,cap,sector
^NSEI,NIFTY 50 Index,index,INDEX
^BSESN,SENSEX Index,index,INDEX
^NSEBANK,Bank Nifty,index,INDEX
360ONE.NS,360 ONE WAM Ltd.,mid,Financial Services
3MINDIA.NS,3M India Ltd.,mid,Diversified
ABB.NS,ABB India Ltd.,mid,Capital Goods
ACC.NS,ACC Ltd.,mid,Construction Materials
ACMESOLAR.NS,ACME Solar Holdings Ltd.,mid,Power
AIAENG.NS,AIA Engineering Ltd.,mid,Capital Goods
APLAPOLLO.NS,APL Apollo Tubes Ltd.,mid,Capital Goods
AUBANK.NS,AU Small Finance Bank Ltd.,mid,Financial Services
AWL.NS,AWL Agri Business Ltd.,mid,Fast Moving Consumer Goods
AADHARHFC.NS,Aadhar Housing Finance Ltd.,mid,Financial Services
AARTIIND.NS,Aarti Industries Ltd.,mid,Chemicals
AAVAS.NS,Aavas Financiers Ltd.,mid,Financial Services
ABBOTINDIA.NS,Abbott India Ltd.,mid,Healthcare
ACE.NS,Action Construction Equipment Ltd.,mid,Capital Goods
ACUTAAS.NS,Acutaas Chemicals Ltd.,mid,Healthcare
ADANIENSOL.NS,Adani Energy Solutions Ltd.,mid,Power
ADANIENT.NS,Adani Enterprises Ltd.,mid,Metals & Mining
ADANIGREEN.NS,Adani Green Energy Ltd.,mid,Power
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,mid,Services
ADANIPOWER.NS,Adani Power Ltd.,mid,Power
ATGL.NS,Adani Total Gas Ltd.,mid,Oil Gas & Consumable Fuels
ABCAPITAL.NS,Aditya Birla Capital Ltd.,mid,Financial Services
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,mid,Consumer Services
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,mid,Consumer Services
ABREL.NS,Aditya Birla Real Estate Ltd.,mid,Realty
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,mid,Financial Services
CPPLUS.NS,Aditya Infotech Ltd.,mid,Capital Goods
AEGISLOG.NS,Aegis Logistics Ltd.,mid,Oil Gas & Consumable Fuels
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,mid,Oil Gas & Consumable Fuels
AFCONS.NS,Afcons Infrastructure Ltd.,mid,Construction
AFFLE.NS,Affle 3i Ltd.,mid,Information Technology
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,mid,Healthcare
ALKEM.NS,Alkem Laboratories Ltd.,mid,Healthcare
ABDL.NS,Allied Blenders and Distillers Ltd.,mid,Fast Moving Consumer Goods
ARE&M.NS,Amara Raja Energy & Mobility Ltd.,mid,Automobile and Auto Components
AMBER.NS,Amber Enterprises India Ltd.,mid,Consumer Durables
